Title,Author,Publisher,Year,Type,Status,Summary,ISBN13,DateAdded
三体,,,,,REVISED,物理学者の連続自殺事件と、迫り来る謎のカウントダウン。ナノマテリアル研究者の汪淼は、真相を追う中で、過酷な三体世界を生き抜くＶＲゲーム「三体」の存在を知る。文化大革命から現代へと至る壮大な歴史背景と、圧倒的なスケールで描かれるハードＳＦの金字塔。人類の運命を左右する未知の知的生命体との接触が、読者を未知なる宇宙の深淵へと誘い込む。,,
西洋の敗北 日本と世界に何が起きるのか,,,,,REVISED,ウクライナ戦争は、単なる局地戦ではなく西洋社会の崩壊の始まりに過ぎない。エマニュエル・トッドが、宗教や道徳の喪失、そしてアメリカを盟主とする西洋の自滅的没落を鋭く読み解く。民主主義の危機と新たな世界秩序の到来を予言し、日本が直面する地政学的な課題にも警鐘を鳴らす。歴史的視座から現代の国際情勢を俯瞰する、スリリングな思想書。,,
「好き」を言語化する技術 推しの素晴らしさを語りたいのに「やばい!」しかでてこない,,,,,REVISED,推しへの熱い想いが「やばい！」「尊い！」だけで終わってしまうあなたへ。書評家の三宅香帆が、自分の感情に深く向き合い、独自の解像度で「推し語り」を楽しむための文章術を伝授する。ＳＮＳでの発信からブログ、レビューまで、自分の言葉で感動を伝える方法を具体的に解説。言葉を紡ぐことで、推しへの愛がさらに深まる、すべてのオタク必読の指南書。,,
平和と愚かさ,,,,,REVISED,「平和とは、戦争について考えない愚かさの別名ではないか」。ウクライナやベトナム、沖縄など、歴史的記憶が刻まれた地を巡りながら、ＳＮＳ時代の過剰な政治化や分断に警鐘を鳴らす、思想家・東浩紀の渾身の哲学紀行。世界各地の風景と人々の営みを通じて、現代社会が抱える矛盾と危うさを浮き彫りにし、本当の意味での平和と人間の在り方を問い直す。,,
Occultic;Nine (3) -オカルティック・ナイン- (オーバーラップ文庫),,,,,REVISED,井の頭公園で発生した２５６人の集団自殺事件に世間が騒然とする中、我聞悠太は死亡者リストの中に自分と仲間たちの名前を発見し愕然とする。霊界との交信、黒魔術、そして世界の裏に隠された巨大な陰謀。散りばめられた伏線が一つに繋がり、生と死の境界が曖昧になる中で、悠太たちは自らの存在意義と世界の真実に迫る。手に汗握るオカルトサスペンス。,,
Occultic;Nine (2) -オカルティック・ナイン- (オーバーラップ文庫),,,,,REVISED,橋上教授の凄惨な死体発見現場に偶然居合わせた我聞悠太は、殺人の容疑を晴らすため、教授の息子であるサライと共に不可解な謎を追う。一方、井の頭公園では前代未聞の２５６人集団水死事件が発生し、事態はさらに混迷を極める。個性豊かな９人の男女の運命が複雑に交錯し、オカルトと科学が融合した予測不能のストーリーが加速していく。,,
Occultic;Nine (1) -オカルティック・ナイン- (オーバーラップ文庫),,,,,REVISED,吉祥寺を舞台に、アフィリエイトブログ「キリキリバサラ」を運営する我聞悠太を中心に、黒魔術代行屋、同人漫画家など、一癖も二癖もある９人の男女が、ある殺人事件をきっかけに不可解な運命の渦に巻き込まれていく。都市伝説や陰謀論が現実と交錯し、日常が徐々に狂気へと蝕まれていく様をスリリングに描いた、新感覚のオカルトサスペンスの幕開け。,,
アカギ 1 (バンブーコミックス),,,,,REVISED,莫大な借金に追われ、ヤクザとの麻雀勝負で絶体絶命の窮地に立たされていた南郷。彼の前に偶然現れたのは、ずぶ濡れの１３歳の白髪の少年、赤木しげるだった。麻雀のルールすら知らないはずの少年が、持ち前の度胸と天才的な直感でヤクザたちを翻弄していく。裏社会を震撼させることとなる伝説の雀士・アカギの誕生と、息を呑む心理戦を描いた傑作の原点。,,
アカギ (2) (近代麻雀コミックス バンブーコミックス),,,,,REVISED,ヤクザとの苛烈な麻雀勝負で、圧倒的な才能と異彩を放つ少年・アカギ。だが、彼の前に立ちはだかるのは、盲目でありながら恐ろしいまでの打牌精度と直感を誇る老獪な雀士・市川だった。互いの命とプライドを賭けた、常人には理解し得ない高次元の読み合いと駆け引き。闇の住人たちをも震え上がらせる、緊迫感に満ちた死闘が繰り広げられる。,,
アカギ (3) (近代麻雀コミックス バンブーコミックス),,,,,REVISED,盲目の天才雀士・市川との、血で血を洗うような壮絶な牌の削り合い。市川の老獪な駆け引きと冷酷な罠に対し、アカギは常軌を逸した心理戦と研ぎ澄まされた直感で真っ向から勝負を挑む。極限状態の中で見せるアカギの狂気とも言える打牌は、見る者を圧倒する。勝負の行方が全く読めない、ヒリヒリとするような緊張感が続く怒涛の展開。,,
