Title,Author,Publisher,Year,Type,Status,Gemini_Summary,ISBN13,DateAdded
三体,,,,,REVISED,相次ぐエリート科学者の不審死と、主人公・汪淼の網膜に突如として現れた謎のカウントダウン。不可解な現象の真相を追う彼は、異星の過酷な環境をシミュレートしたVRゲーム「三体」へとたどり着く。文化大革命の狂気から現代へと繋がる壮大なスケールで描かれ、人類の運命を揺るがす世界的ベストセラーSFの第一作。,,
西洋の敗北 日本と世界に何が起きるのか,,,,,REVISED,ウクライナでの戦争を引き金として、アメリカを盟主とする西洋社会はなぜ没落への道を歩み始めたのか。プロテスタンティズムの衰退による宗教的・道徳的基盤の喪失を背景に、歴史人口学者のエマニュエル・トッドが現代世界のパワーバランスの激変を分析。西洋の自滅的な崩壊と、日本を含む今後の国際秩序の行方を鋭く読み解く。,,
「好き」を言語化する技術 推しの素晴らしさを語りたいのに「やばい!」しかでてこない,,,,,REVISED,推しの魅力を全力で伝えたいのに、いざ言葉にしようとすると「やばい」「最高」しか出てこない。そんなもどかしさを抱える人に向けて、気鋭の書評家・三宅香帆が、自分の本当の感情と向き合い、解像度高く言語化するための思考法と文章術を指南。あなただけの「好き」を的確な言葉で語り尽くすための、愛に溢れた実践的ガイド。,,
平和と愚かさ,,,,,REVISED,「平和とは、単に戦争について考えないという愚かさの別名にすぎないのではないか」。ロシアによるウクライナ侵攻が影を落とす中、ベトナムや沖縄など歴史の記憶が刻まれた地を巡る。SNSによる過剰な政治化や言葉の空転に警鐘を鳴らし、危機の時代において知性が果たすべき役割を問い直す、批評家・東浩紀による思索の軌跡。,,
Occultic;Nine (3) -オカルティック・ナイン- (オーバーラップ文庫),,,,,REVISED,井の頭公園の池で256人の遺体が発見された前代未聞の集団水死事件。世間が騒然とするなか、オカルトブログを運営する我聞悠太は、ニュースで報じられた犠牲者リストの中に自らと仲間たちの名前を見つけてしまう。生と死の境界が曖昧に崩れゆく中、不可解な現象の背後に潜む巨大な陰謀と、世界の構造そのものの謎に肉薄していく。,,
Occultic;Nine (2) -オカルティック・ナイン- (オーバーラップ文庫),,,,,REVISED,凄惨な殺害現場となった橋上教授の研究室に偶然居合わせてしまった我聞悠太。自身の容疑を晴らし事態を収拾するため、教授の息子であるサライと共に不可解な死の真相を追い始める。しかしその裏では、井の頭公園を舞台にした256人もの集団水死事件という、彼らの想像を絶するおぞましい惨劇が静かに幕を開けようとしていた。,,
Occultic;Nine (1) -オカルティック・ナイン- (オーバーラップ文庫),,,,,REVISED,吉祥寺に住む高校生の我聞悠太は、オカルト系アフィリエイトブログ「キリキリバサラ」を運営し、一攫千金を夢見ていた。しかし、彼のブログをきっかけに集まった見ず知らずの変わり者たちが、ある猟奇的な殺人事件を境に交錯し始める。日常に潜む小さな違和感がやがて想像を絶する事態へと繋がる、予測不能のオカルトサスペンス。,,
アカギ 1 (バンブーコミックス),,,,,REVISED,昭和33年の荒れた夜、莫大な借金を抱え、ヤクザとの麻雀勝負で絶体絶命の窮地に立たされていた南郷。そこへ雨に濡れた一人の少年が迷い込む。白髪で感情を見せない13歳のその少年、赤木しげるこそが、のちに裏社会の頂点に君臨し「神域の男」と畏れられる天才雀士だった。常軌を逸した才能が覚醒する、伝説の始まりの夜を描く。,,
アカギ (2) (近代麻雀コミックス バンブーコミックス),,,,,REVISED,大人たちの思惑が交錯する裏社会の代打ちとして、その底知れぬ狂気と才能を覗かせる少年アカギ。そんな彼の前に、絶対的な聴力と圧倒的な経験値を持つ盲目の老雀士・市川が立ちはだかる。イカサマすらも冷徹に見破る市川に対し、アカギは常識を覆す破天荒な闘牌で応戦。互いの命とプライドを削り合う、極限の頭脳戦が加速していく。,,
アカギ (3) (近代麻雀コミックス バンブーコミックス),,,,,REVISED,盲目の代打ち・市川との死闘は苛烈さを極め、牌の偏りを操作する老獪な駆け引きがアカギを追いつめる。しかしアカギは、わずかな隙を突く狂気の心理戦と、生命の危機すらも楽しむかのような直感で盤面を支配し返す。ロシアンルーレットをも辞さない異端の覚悟が場を支配するなか、死線を超えた者だけが到達できる狂気の勝負が続く。,,
アカギ 4 (バンブーコミックス),,,,,REVISED,盲目の雀士・市川との死闘から5年後。不良刑事の安岡とヤクザの川田組長は、巨大な利権を賭けた勝負のために再びアカギを代打ちとして引きずり出そうと画策する。彼らを待ち受けていたのは、関西屈指の凄腕代打ち・浦部。しかし、安岡が連れてきた青年は、かつての狂気を孕んだ天才少年とはどこか違う雰囲気を漂わせていた。,,
アカギ 5 (バンブーコミックス),,,,,REVISED,安岡が川田組の代打ちとして用意したのは、驚異的な記憶力と計算力を持つ秀才「ニセアカギ」こと平山幸雄だった。しかし、本性を隠し持つ関西の代打ち・浦部の底知れぬ策略の前に、平山のロジックは無惨にも粉砕されていく。莫大な借金を背負わされ窮地に陥ったその時、ついに本物の赤木しげるが姿を現し、理不尽な闘牌を見せつける。,,
アカギ 6 (バンブーコミックス),,,,,REVISED,浦部との勝負の最中、代打ちの席に素人の治を座らせるという暴挙に出たアカギ。点棒をむしり取られ窮地に陥った絶望的な状況下で、ついに本物の「神域」が席に戻る。常人には理解不能なブラフと、相手の心理の奥底を冷酷に抉る異端の打牌によって場の空気は一変。絶対優位を確信していた浦部を、見えざる恐怖のどん底へと引きずり込む。,,
アカギ 7 (バンブーコミックス),,,,,REVISED,日本の黒幕として君臨する狂気の老王・鷲巣巌。若者たちの命を弄ぶ悪魔のような男の前に、ついに伝説の雀士・赤木しげるが降り立つ。アカギは自らの致死量の血液を、鷲巣は莫大な全財産を賭けるという異常なルールの下、透明な牌を用いた「鷲巣麻雀」の火蓋が切られる。日本麻雀史に残る最も長く壮絶な、血塗られた死闘がここに開幕する。,,
「振り仮名」があれば学力は上がるのか (ポプラ新書 286),,,,,REVISED,「漢字が読めないから、学ぶこと自体を諦めてしまう」。見過ごされがちな教育現場での知の格差を解消するためには何が必要なのか。誰にでも読める「ルビ（振り仮名）」こそが、すべての人の学びを保障する社会的なインフラになり得ると主張する。当事者の視点から漢字偏重の社会構造を問い直し、総ルビ仕様で出版された画期的な提言書。,,
本を読めなくなった人たち コスパとテキストメディアをめぐる現在形 (中公新書ラクレ),,,,,REVISED,かつては本を愛読していたのに、今では長い文章を読むのが苦痛になってしまった。そんな「読書離れ」は個人の怠慢ではなく、タイムパフォーマンスを至上とする社会の変化やSNSによる情報消費の変容が引き起こした構造的な問題だった。テキストメディアを取り巻く現代の過酷な環境と、読書という行為の変質を鋭い視点で解き明かす。,,
物語化批判の哲学 〈わたしの人生〉を遊びなおすために (講談社現代新書),,,,,REVISED,就職活動の「ガクチカ」やSNSでの自己アピールなど、現代社会には自分の人生を一貫した「物語」として語るよう強いる圧力が蔓延している。そんな窮屈な枠組みに息苦しさを感じる人々へ向け、気鋭の分析美学者が「物語化」の限界と暴力を哲学的に解きほぐす。人生を一つの筋書きから解放し、もっと自由に「遊びなおす」ための実践的思考法。,,
増補改訂版 スマホ時代の哲学 「常時接続の世界」で失われた孤独をめぐる冒険,,,,,REVISED,スマートフォンによる「常時接続」が当たり前となった現代、私たちは絶え間ない情報にさらされ、自分自身と向き合う静かな時間を完全に奪われてしまった。不確実なものに耐える力「ネガティブ・ケイパビリティ」を手がかりに、情報過多の社会を生き延びる術を模索。ノイズを遮断し、失われた孤独と深い集中の時間を取り戻すための現代の哲学書。,,
PLURALITY,,,,,REVISED,分断と対立が深刻化する現代において、民主主義はいかにしてテクノロジーと共存できるのか。台湾の元デジタル発展部長オードリー・タンらが提唱する概念「プルラリティ（多元性）」を基軸に、多様な人々の声をつなぎ合わせ、協調的な社会を構築するための青図を描き出す。デジタル技術を用いて未来のガバナンスをアップデートする希望の書。,,
現代思想入門 (講談社現代新書),,,,,REVISED,難解な現代思想をかつてないほど平易に解説。デリダ、ドゥルーズ、フーコーを軸に、「秩序と逸脱」というテーマから複雑な世界を読み解くための高い解像度を授ける入門書。,,
日本経済の死角 収奪的システムを解き明かす (ちくま新書 1840),,,,,REVISED,生産性は向上しているのになぜ実質賃金は上がらないのか。河野龍太郎が７つの「死角」から、家計が過酷に搾取される日本の経済システムを詳細に分析し、長期停滞の真因に迫る。,,
男はなぜ孤独死するのか 男たちの成功の代償,,,,,REVISED,なぜ男性は孤独に陥りやすいのか。心理学者トーマス・ジョイナーが、仕事やプライドを優先して人間関係を犠牲にする「男らしさ」の危うさを、様々な統計と心理学から解き明かす。,,
週刊文春エンタ+ (文春ムック),,,,,REVISED,映画『シン・仮面ライダー』を大特集。池松壮亮らのキャスト鼎談や庵野秀明監督インタビューを収録。石ノ森章太郎の原作漫画「一文字隼人、登場！」も付録したファン必読の一冊。,,
