Service_ID	Item_ID	ISBN13	Category	Rating	Status	Review	Tags	Memo	Added_Date	Read_Date	Title	Author	Publisher	Year	Type	Pages	Gemini_Summary	Gemini_Recommendation
1	4087711196	9784087711196			積読				2026-07-07 1:03:28		母性のディストピア	宇野常寛	集英社	2017-10-26	本	512	宇野常寛が、宮崎駿や富野由悠季などのアニメ作品を紐解きながら、日本社会における「母性」の病理と戦後サブカルチャーの変遷を論じた気鋭の批評書。	
1	4864291276	9784864291279			積読				2026-07-07 1:03:29		ハルキとハルヒ 村上春樹と涼宮ハルヒを解読する (ACADEMIA SOCIETY NO.5)	土居豊	大学教育出版	2012-04-20	本	200	宇宙人や未来人を巻き込んだ非日常を望む女子高生・涼宮ハルヒと、それに巻き込まれるキョンたちSOS団のドタバタを描く、谷川流の大人気ライトノベルシリーズ。	
1	4884754328	9784884754327			積読				2026-07-07 1:03:29		天 2 (バンブーコミックス)	福本伸行	竹書房	1989-09-18	マンガ		麻雀の代打ちとして生きる主人公・天を中心に、個性豊かな勝負師たちの死闘を描いた福本伸行の代表作。人間の生き様や信念が交錯するドラマチックな展開が見どころ。	
1	4884754549	9784884754549			積読				2026-07-07 1:03:30		天 3 (バンブーコミックス)	福本伸行	竹書房	1990-05-31	マンガ		麻雀の代打ちとして生きる主人公・天を中心に、個性豊かな勝負師たちの死闘を描いた福本伸行の代表作。人間の生き様や信念が交錯するドラマチックな展開が見どころ。	
1	4884755057	9784884755058			積読				2026-07-07 1:03:30		天 4 (バンブーコミックス)	福本伸行	竹書房	1991-04-19	マンガ		麻雀の代打ちとして生きる主人公・天を中心に、個性豊かな勝負師たちの死闘を描いた福本伸行の代表作。人間の生き様や信念が交錯するドラマチックな展開が見どころ。	
1	4884755758	9784884755751			読み終わった				2026-07-07 1:03:31	2026-07-07 0:00:00	天 5 (バンブーコミックス)	福本伸行	竹書房	1992-04-24	マンガ		麻雀の代打ちとして生きる主人公・天を中心に、個性豊かな勝負師たちの死闘を描いた福本伸行の代表作。人間の生き様や信念が交錯するドラマチックな展開が見どころ。	
1	488475431X	9784884754310			読み終わった				2026-07-07 1:03:32	2026-07-07 0:00:00	天 1 (バンブーコミックス)	福本伸行	竹書房	1990-02-27	マンガ		麻雀の代打ちとして生きる主人公・天を中心に、個性豊かな勝負師たちの死闘を描いた福本伸行の代表作。人間の生き様や信念が交錯するドラマチックな展開が見どころ。	
1	4473047067	9784473047069			読み終わった				2026-07-07 1:03:32	2026-07-07 0:00:00	ニュー日本文学史	三宅香帆	淡交社	2026-03-21	本	240	日本の近現代文学史を新たな視点から紐解き、文学の変遷をわかりやすく解説する入門書。	
1	4396618557	9784396618551			積読				2026-07-07 1:03:33		アニソン大全 ーー「鉄腕アトム」から「鬼滅の刃」まで (単行本)	澄川龍一	祥伝社	2025-11-05	本	240	『鉄腕アトム』から『鬼滅の刃』まで、日本のアニメソングの歴史と進化を網羅した解説書。	
1	4478109680	9784478109687			読み終わった				2026-07-07 1:03:33	2026-07-07 0:00:00	DIE WITH ZERO 人生が豊かになりすぎる究極のルール	ビル・パーキンス	ダイヤモンド社	2020-10-01	本	280	「ゼロで死ね」という過激なテーマを掲げ、資産をただ貯め込むのではなく、人生の充実のために最適なタイミングでお金と時間を使い切る方法を説くベストセラー。	
1		4912044390466			読み終わった				2026-07-07 1:03:34	2026-07-07 0:00:00	将棋世界 2026年4月号	「将棋世界」編集部	マイナビ出版	2026-03-03	雑誌	228	日本将棋連盟が発行する、将棋ファン向けの月刊誌。	
1	4334108199	9784334108199			読み終わった				2026-07-07 1:03:35	2026-07-07 0:00:00	性的であるとはどのようなことか	難波優輝	光文社	2025-12-17	本	216	「性的である」ということの意味を、哲学や倫理学の視点から深く考察した思想書。	
1	4152098708	9784152098702			積読				2026-07-07 1:03:35		三体	劉慈欣	早川書房	2019-07-04	本	448	劉慈欣による、世界的ベストセラーとなった壮大な本格SF小説。	
1	4101050414	9784101050416			積読				2026-07-07 1:03:36		花ざかりの森・憂国 自選短編集 (新潮文庫)	三島由紀夫	新潮社	2020-10-28	本	352	三島由紀夫の初期から中期にかけての代表的な短編を収録した傑作選。	
1	4150310475	9784150310479			積読				2026-07-07 1:03:37		ゼロ年代の想像力 (ハヤカワ文庫JA)	宇野常寛	早川書房	2011-09-09	本	480	宇野常寛による、2000年代の日本のサブカルチャーや想像力を鋭く分析した批評書。	
1	4569860176	9784569860176			積読				2026-07-07 1:03:37		考察する若者たち (PHP新書)	三宅香帆	PHP研究所	2025-11-14	本	248	現代の若者たちがエンタメ作品などを「考察」する現象を分析し、彼らの心理に迫る新書。	
1	4101035415	9784101035413			積読				2026-07-07 1:03:38		暇と退屈の倫理学 (新潮文庫)	國分功一郎	新潮社	2021-12-23	本	512	國分功一郎が「暇」と「退屈」を切り口に、人間の生き方や消費社会を問う哲学書。	
1	4065399750	9784065399750			積読				2026-07-07 1:03:38		「選択肢」の選択史 ニトロプラスのシナリオライターはノベルゲームをどう作ってきたか (星海社新書)	下倉バイオ	星海社	2025-09-18	本	240	ニトロプラスを題材に、ノベルゲームのシナリオ構造や選択肢の歴史と進化を紐解く一冊。	
1	4326851961	9784326851966			積読				2026-07-07 1:03:39		虚構世界はなぜ必要か? SFアニメ「超」考察	古谷利裕	勁草書房	2018-12-26	本	304	SFアニメなどの「虚構」が現実社会や人間の心理においてなぜ必要なのかを考察する本。	
1	4816369783	9784816369780			積読				2026-07-07 1:03:39		史上最強の漢検マスター準1級問題集	オフィス海	ナツメ社	2021-02-08	本	320	漢字検定準1級の合格を目指す人のための、充実した対策問題集。	
1	4163919090	9784163919096			いま読んでる				2026-07-07 1:03:40		西洋の敗北 日本と世界に何が起きるのか	エマニュエル・トッド	文藝春秋	2024-11-08	本	416	エマニュエル・トッドによる、西洋社会の現状と没落、そして世界の変化を論じた著書。	
1	4799330837	9784799330838			積読				2026-07-07 1:03:40		「好き」を言語化する技術 推しの素晴らしさを語りたいのに「やばい!」しかでてこない	三宅香帆	ディスカヴァー・トゥエンティワン	2024-07-31	本	264	「推し」への愛や感動を、語彙力を駆使して相手に伝わるように言語化するための指南書。	
1	4907188676	9784907188672			いま読んでる				2026-07-07 1:03:41		平和と愚かさ	東浩紀	ゲンロン	2025-12-18	本	500	ウクライナ、ユーゴスラヴィア、ベトナム、中国……『動物化するポストモダン』の著者による「考えないこと」からの平和論。	
1	4865541128	9784865541120			積読				2026-07-07 1:06:31		Occultic;Nine (3) -オカルティック・ナイン- (オーバーラップ文庫)	志倉千代丸	オーバーラップ	2017-09-25	本		オカルト系ブログを運営する主人公を中心に、様々な変わり者たちが不可解な事件や超常現象に巻き込まれていく様子を描いた志倉千代丸の超常科学ノベル。	
1	4865540202	9784865540208			積読				2026-07-07 1:06:32		Occultic;Nine (2) -オカルティック・ナイン- (オーバーラップ文庫)	志倉千代丸	オーバーラップ	2015-04-23	本		オカルト系ブログを運営する主人公を中心に、様々な変わり者たちが不可解な事件や超常現象に巻き込まれていく様子を描いた志倉千代丸の超常科学ノベル。	
1	4906866212	9784906866212			積読				2026-07-07 1:06:32		Occultic;Nine (1) -オカルティック・ナイン- (オーバーラップ文庫)	志倉千代丸	オーバーラップ	2014-08-25	本	416	オカルト系ブログを運営する主人公を中心に、様々な変わり者たちが不可解な事件や超常現象に巻き込まれていく様子を描いた志倉千代丸の超常科学ノベル。	
1	488475574X	9784884755744			読み終わった				2026-07-07 1:07:16	2026-07-07 0:00:00	アカギ 1 (バンブーコミックス)	福本伸行	竹書房	1992-04-24	マンガ		伝説の雀士・赤木しげるの若き日を描いた麻雀漫画の金字塔。卓越した洞察力と度胸で闇の権力者たちから勝利をもぎ取る、息詰まる心理戦が展開される。	
1	4884756207	9784884756208			読み終わった				2026-07-07 1:07:19	2026-07-07 0:00:00	アカギ (2) (近代麻雀コミックス バンブーコミックス)	福本伸行	竹書房	1992-12-09	マンガ		伝説の雀士・赤木しげるの若き日を描いた麻雀漫画の金字塔。卓越した洞察力と度胸で闇の権力者たちから勝利をもぎ取る、息詰まる心理戦が展開される。	
1	4884756738	9784884756734			読み終わった				2026-07-07 1:07:20	2026-07-07 0:00:00	アカギ (3) (近代麻雀コミックス バンブーコミックス)	福本伸行	竹書房	1993-09-29	マンガ		伝説の雀士・赤木しげるの若き日を描いた麻雀漫画の金字塔。卓越した洞察力と度胸で闇の権力者たちから勝利をもぎ取る、息詰まる心理戦が展開される。	
1	4884757238	9784884757236			読み終わった				2026-07-07 1:07:22	2026-07-07 0:00:00	アカギ 4 (バンブーコミックス)	福本伸行	竹書房	1994-06-27	マンガ		伝説の雀士・赤木しげるの若き日を描いた麻雀漫画の金字塔。卓越した洞察力と度胸で闇の権力者たちから勝利をもぎ取る、息詰まる心理戦が展開される。	
